# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	1	space	COLOR	absent	8	homo	hetero	NA	NA	absent	1054.32149	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	2	space	COLOR	absent	16	homo	hetero	NA	NA	absent	1074.987309	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	3	space	COLOR	present	8	homo	hetero	NA	NA	present	746.164579992	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	4	space	COLOR	present	16	homo	hetero	NA	NA	present	729.468457983	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	5	space	COLOR	absent	12	homo	hetero	NA	NA	absent	941.423794022	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	6	space	COLOR	present	12	homo	hetero	NA	NA	present	830.909371958	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	7	space	COLOR	absent	16	homo	hetero	NA	NA	absent	1108.02196397	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	8	space	COLOR	present	8	homo	hetero	NA	NA	present	849.280108989	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	9	space	COLOR	present	12	homo	hetero	NA	NA	absent	620.799925004	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	1	10	space	COLOR	absent	8	homo	hetero	NA	NA	absent	1116.92975002	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	1	time	COLOR	absent	NA	homo	homo	-1	NA	NA	NA	absent	4505.85055904
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	2	time	COLOR	present	NA	homo	homo	9	4583.69493606	NA	NA	present	1820.07788902
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	3	time	COLOR	absent	NA	homo	homo	-1	NA	NA	NA	absent	4504.12700203
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	4	time	COLOR	present	NA	homo	homo	9	4583.6876606	NA	NA	present	1986.88923602
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	5	time	COLOR	present	NA	homo	homo	5	3916.42232007	NA	NA	present	1319.83862299
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	6	time	COLOR	absent	NA	homo	homo	-1	NA	NA	NA	absent	4504.22997301
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	7	time	COLOR	present	NA	homo	homo	7	4250.16254045	NA	NA	present	1486.601207
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	8	time	COLOR	present	NA	homo	homo	12	5083.06707126	NA	NA	present	4503.818103
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	9	time	COLOR	present	NA	homo	homo	11	4917.31077665	NA	NA	present	2153.81792001
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	2	10	time	COLOR	absent	NA	homo	homo	-1	NA	NA	NA	absent	4504.07484599
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	1	space	COLOR	present	16	hetero	homo	NA	NA	present	518.734539975	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	2	space	COLOR	present	12	hetero	homo	NA	NA	present	424.33804099	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	3	space	COLOR	present	8	hetero	homo	NA	NA	present	488.231465977	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	4	space	COLOR	absent	8	hetero	homo	NA	NA	absent	707.833149005	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	5	space	COLOR	absent	16	hetero	homo	NA	NA	absent	664.50789501	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	6	space	COLOR	absent	12	hetero	homo	NA	NA	absent	514.702039014	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	7	space	COLOR	absent	16	hetero	homo	NA	NA	absent	524.294186034	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	8	space	COLOR	absent	8	hetero	homo	NA	NA	absent	1209.23834399	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	9	space	COLOR	absent	12	hetero	homo	NA	NA	absent	798.859685019	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	3	10	space	COLOR	present	16	hetero	homo	NA	NA	present	500.605773006	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	1	time	COLOR	present	NA	homo	hetero	8	NA	NA	NA	present	664.286511019
